stars;acc;pp
1.3;0.8486972042760413;30.9587
1.3;0.8468308014667365;30.6525
1.3;0.8459150612110277;30.5022
1.3;0.8887259181654152;30.2355
1.3;0.8433424519333372;30.0802
1.3;0.8429544264012572;30.0165
1.3;0.8428962225714453;30.007
1.3;0.842880701550162;30.0044
1.3;0.8392681838464972;29.4117
1.3;0.8372194090371147;29.0756
1.3;0.8367537783986186;28.9992
1.3;0.8358496789088722;28.8509
1.3;0.8345497933764041;28.6376
1.3;0.8327027918437033;28.3346
1.3;0.8321595560987913;28.2454
1.3;0.8278097898841744;27.5318
1.3;0.8255941640959975;27.1683
1.3;0.8238596899675998;26.8837
1.3;0.8231922860524222;26.7742
1.3;0.8219816463923326;26.5756
1.3;0.8215237762644783;26.5005
1.3;0.8205226703917118;26.3362
1.3;0.8184622548163669;25.9982
1.3;0.8177909706458685;25.8881
1.3;0.8136701394951787;25.212
1.3;0.8098907708127194;24.5919
1.3;0.8087693770250083;24.4079
1.3;0.8045360184700153;23.7134
1.3;0.7944201928486895;22.2368
1.3;0.7937644296994742;22.1507
1.3;0.7921929262945502;21.9445
1.3;0.7919833925072269;21.917
1.3;0.7916652115709214;21.8752
1.3;0.7913935936984654;21.8396
1.3;0.7897134431445589;21.619
1.3;0.7895776342083309;21.6012
1.3;0.7888481462080205;21.5055
1.3;0.785538288419378;21.071
1.3;0.7808470597365307;20.4553
1.3;0.769815493859496;19.0074
1.3;0.7659041964961294;18.494
1.3;0.7632656228779854;18.1477
1.3;0.7631802572609278;18.1365
1.3;0.7566071047474924;17.2737
1.3;0.7563548881516404;17.2406
1.3;0.7516364976815475;16.6213
1.3;0.7496187649147313;16.3732
1.3;0.743142618784316;15.8065
1.3;0.7340278990357566;15.009
1.3;0.7323787905244165;14.8647
1.3;0.7526220825330306;13.3432
1.3;0.7062918340026774;12.582
1.3;0.697487534679782;11.8391
1.3;0.694534660380653;11.613
1.3;0.6932037328056186;11.5111
1.3;0.6920280154434162;11.4211
1.3;0.6732786217333101;9.98558
1.3;0.6672719864967115;9.52569
1.3;0.6599111421531537;8.96211
2.64;0.9875947252837892;152.051
2.64;0.9848253961707787;148.968
2.64;0.984468662040808;148.571
2.64;0.9843676217380994;148.459
2.64;0.983666525760122;147.678
2.64;0.9835964161623243;147.6
2.64;0.9835366167994969;147.534
2.64;0.9820189502118754;145.844
2.64;0.981761194337619;145.557
2.64;0.9816745883638688;145.461
2.64;0.9814209565836005;145.179
2.64;0.980874514130177;144.57
2.64;0.9875947252837892;152.051
2.64;0.9848253961707787;148.968
2.64;0.984468662040808;148.571
2.64;0.9843676217380994;148.459
2.64;0.983666525760122;147.678
2.64;0.9835964161623243;147.6
2.64;0.9835366167994969;147.534
2.64;0.9820189502118754;145.844
2.64;0.981761194337619;145.557
2.64;0.9816745883638688;145.461
2.64;0.9814209565836005;145.179
2.64;0.980874514130177;144.57
2.64;0.9808456454722603;144.538
2.64;0.980062067614521;143.666
